Breed,Weight,Height,Price,Lifespan,GoodWithKids,Trainability,Intelligence,Adaptability,CatFriendly,DogFriendly,Shedding,Hypoallergenic,Watchdog
"Chihuahua Longhair/West Highland",13,13,1000,17,2,3,3,4,4,3,1,False,4
"Chihuahua Shorthair/Affenpinscher",9,11,650,16,1,3,3,3,4,3,1,False,4
"Chihuahua Shorthair/Boxer",32,17,1000,15,2,3,3,4,4,2,2,False,4
"Chihuahua Shorthair/Cavalier Span",12,11,1150,16,2,3,3,5,4,4,2,False,3
"Chihuahua Shorthair/Cocker Spaniel",18,13,800,16,3,3,3,5,4,4,2,False,3
"Chihuahua Shorthair/Finnish Spitz",17,15,750,16,2,3,3,4,4,3,2,False,3
"Chihuahua Shorthair/French Bulldog",17,11,1550,15,1,3,3,5,3,2,1,False,3
"Chihuahua Shorthair/Lhasa Apso",10,19,700,16,3,3,3,5,5,4,2,False,3
"Chihuahua Shorthair/Parson Russell Terrier",10,24,650,16,2,4,3,5,3,2,2,False,4
"Chihuahua Shorthair/Pekingese",10,9,700,16,1,2,3,5,5,3,2,False,4
"Chihuahua Shorthair/Queensland Heeler",20,15,700,16,3,4,4,4,4,3,2,False,4
"Chihuahua Shorthair/Shetland Sheepdog",16,13,750,15,2,4,4,5,5,3,2,False,4
"Chihuahua Shorthair/Shih Tzu",11,19,1000,16,1,3,3,5,5,4,1,False,4
"Chinese Crested/Chihuahua Longhair",8,11,850,16,2,3,3,4,4,3,1,False,3
"Chinese Crested/Papillon",10,11,700,14,4,3,4,4,2,2,1,False,4
"Chinese Sharpei/Airedale Terrier",58,37,1125,11,2,3,4,4,2,1,2,False,4
"Chinese Sharpei/Australian Cattle Dog",43,35,1050,13,3,4,4,3,3,2,2,False,4
"Chinese Sharpei/Basset Hound",63,33,1000,11,3,3,3,4,4,3,2,False,2
"Chinese Sharpei/Great Dane",90,41,1350,11,2,3,3,3,3,2,2,False,4
"Chinese Sharpei/Pit Bull",58,36,1100,12,1,2,3,4,2,1,1,False,4
"Chow Chow/Australian Kelpie",58,21,900,14,2,3,3,3,2,2,4,False,4
"Chow Chow/Border Collie",57,22,950,15,3,3,4,3,2,2,4,False,4
"Chow Chow/Cardigan Welsh Corgi",51,17,1200,15,3,3,4,3,3,2,5,False,4
"Chow Chow/English Cocker Spaniel",52,19,1350,15,3,3,3,3,3,3,4,False,4
"Chow Chow/Siberian Husky",65,22,1100,15,3,1,3,3,1,3,5,False,2
"Cocker Spaniel/Australian Shepherd",49,19,700,15,5,4,4,5,3,4,3,False,4
"Cocker Spaniel/Chihuahua Longhair",18,13,800,16,3,3,3,5,4,4,2,False,3
"Cocker Spaniel/Golden Retriever",46,19,1400,14,5,4,4,5,3,5,3,False,3
"Cocker Spaniel/Standard Poodle",20,38,1150,15,3,4,4,5,3,4,2,False,4
"Cocker Spaniel/Toy Poodle",20,38,1150,15,3,4,4,5,3,4,2,False,4
"Collie Rough/Australian Cattle Dog",49,38,600,15,5,5,5,3,4,4,4,False,5
"Collie Rough/Chinese Sharpei",57,53,1050,13,3,4,4,3,4,3,3,False,4
"Collie Rough/German Shepherd",75,41,1050,13,5,5,5,4,4,3,5,False,5
"Collie Rough/Pembroke Welsh Corgi",44,34,600,15,5,5,4,4,5,4,5,False,5
"Collie Rough/Pointer",69,42,425,15,5,4,4,4,3,5,4,False,5
"Collie Smooth/Chow Chow",72,41,1100,15,3,3,3,3,3,3,5,False,4
"Collie Smooth/Golden Retriever",69,42,1500,14,5,5,4,4,4,5,4,False,4
"Collie Smooth/Jack Russell Terrier",46,37,1000,15,4,5,4,4,3,3,4,False,5
"Collie Smooth/Siberian Husky",67,42,1000,15,5,3,4,4,3,5,5,False,3
"Dachshund Longhair/Australian Shepherd",50,16,600,15,3,3,4,5,3,2,2,False,5
"Dachshund Longhair/Cairn Terrier",24,11,800,15,3,2,4,4,3,2,2,False,5
"Dachshund Longhair/Pembroke Welsh Corgi",29,10,600,14,3,3,4,5,4,2,3,False,5
"Dachshund Longhair/Pomeranian",19,10,700,15,1,2,3,5,4,2,1,False,3
"Dachshund Wirehair/Cairn Terrier",24,11,800,15,3,2,4,4,3,2,2,False,5
"Dachshund Wirehair/Norfolk Terrier",22,9,1550,15,3,3,4,5,3,3,2,False,5
"Dachshund Wirehair/Pbgv",32,9,600,15,2,2,4,5,3,2,1,False,5
"Dachshund Wirehair/Rat Terrier",28,13,550,16,3,3,4,5,3,3,2,False,5
"Dachshund Wirehair/Standard Poodle",21,34,1050,15,2,3,4,5,3,3,1,False,5
"Dachshund/American Staffordshire Terrier",60,13,750,13,2,2,3,5,2,1,1,False,5
"Dachshund/Australian Kelpie",39,14,600,14,2,3,4,5,3,2,2,False,5
"Dachshund/Belgian Malinois",49,17,650,14,3,3,4,5,4,2,2,False,5
"Dachshund/Cavalier Span",25,11,1050,14,2,3,4,5,3,3,2,False,3
"Dachshund/Chinese Sharpei",42,30,1050,13,1,2,4,4,3,2,1,False,4
"Dachshund/Dachshund",32,9,600,15,2,2,4,5,3,2,1,False,5
"Dachshund/English Bulldog",56,34,1550,14,2,2,3,4,3,2,2,False,4
"Dachshund/German Pinscher",33,14,1100,14,2,3,4,4,3,2,2,False,5
"Dachshund/German Shepherd",60,17,1050,12,3,3,4,5,3,2,3,False,5
"Dachshund/Greyhound",60,18,775,13,3,2,3,5,2,3,2,False,3
"Dachshund/Havanese",22,10,850,15,3,3,4,5,4,3,1,False,4
"Dachshund/Pembroke Welsh Corgi",29,10,600,14,3,3,4,5,4,2,3,False,5
"Dachshund/Shetland Sheepdog",29,12,650,14,3,3,4,5,4,3,2,False,5
"Dalmatian/Australian Cattle Dog",49,21,700,14,5,5,5,4,3,4,4,False,4
"Dalmatian/Boxer",61,23,1000,12,4,4,4,4,3,3,4,False,4
"Doberman Pinsch/Border Collie",71,18,850,15,4,5,5,5,3,2,3,False,5
"Doberman Pinsch/Rottweiler",114,20,1500,12,3,4,5,4,3,1,3,False,5
"Doberman Pinsch/Vizsla",81,39,1100,14,3,5,5,5,3,2,2,False,4
"Dogo Argentino/Chinese Sharpei",52,51,1500,11,1,3,4,3,3,2,2,False,3
"Dogue De Bordeaux/American Bulldog",131,48,1100,13,3,3,3,3,3,2,3,False,4
"Dutch Shepherd/Anatol Shepherd",93,27,1200,14,3,2,3,2,2,2,3,False,4
"English Bulldog/American Bulldog",100,65,1700,14,3,3,3,3,3,3,3,False,3
"English Bulldog/American Staffordshire Terrier",84,39,1700,13,2,2,3,4,2,2,2,False,4
"English Bulldog/Beagle",52,38,1650,14,4,2,3,4,3,4,3,False,2
"English Bulldog/Boxer",69,42,1850,13,3,3,3,3,3,2,3,False,4
"English Bulldog/Cairn Terrier",48,36,1750,14,3,3,3,3,3,3,3,False,4
"English Bulldog/Dachshund",56,34,1550,14,2,2,3,4,3,2,2,False,4
"English Bulldog/Pit Bull",72,41,1600,14,2,2,3,4,2,2,2,False,4
"English Coonhound/Australian Cattle Dog",49,23,775,13,4,4,4,3,3,3,3,False,4
"English Coonhound/Border Collie",53,24,825,14,4,4,4,4,3,3,3,False,4
"English Coonhound/Italian Greyhound",39,21,825,13,2,2,3,4,3,3,2,False,3
"English Pointer",75,28,250,15,5,3,4,5,1,5,3,False,5
"English Shepherd",61,23,950,14,3,3,3,3,3,3,3,False,3
"English Springer Spaniel/Beagle",36,18,750,14,4,2,4,5,3,5,3,False,2
"English Springer Spaniel/Cardigan Welsh Corgi",40,16,950,14,4,4,4,5,4,4,4,False,4
"Entlebucher Mix",50,25,800,14,3,3,4,4,3,3,3,False,3
"Finnish Spitz/Chow Chow",49,21,950,14,3,2,3,2,3,2,4,False,3
"Finnish Spitz/Dachshund",30,14,650,14,3,2,4,4,3,2,2,False,4
"Flat Coat Retriever/Australian Cattle Dog",52,21,800,12,4,5,5,4,3,3,3,False,5
"Flat Coat Retriever/Golden Retriever",66,23,1500,11,4,5,5,5,3,4,3,False,4
"Flat Coat Retriever/Labrador Retriever",74,24,1000,11,4,5,5,5,3,4,3,False,4
"French Bulldog/English Bulldog",54,36,2400,13,2,3,3,4,2,2,2,False,2
"French Bulldog/Miniature Schnauzer",24,13,1650,13,2,4,4,5,2,2,1,False,3
"German Pinscher/Whippet",32,38,1400,14,3,3,3,3,2,3,2,False,3
"German Shepherd/Australian Kelpie",67,23,1050,12,4,5,4,5,3,2,4,False,5
"German Shepherd/Black Mouth Cur",91,25,925,13,4,4,4,4,3,2,4,False,4
"German Shepherd/Bull Terrier",86,40,1500,12,4,3,4,4,2,2,4,False,5
"German Shepherd/Greyhound",88,27,1225,11,5,4,4,5,2,3,4,False,3
"German Shepherd/Nova Scotia Duck Tolling Retriever",88,26,1500,10,5,5,5,5,3,2,5,False,5
"German Shepherd/Redbone Hound",78,47,1150,11,5,4,4,5,2,3,3,False,3
"German Shepherd/Swedish Vallhund",59,30,1250,12,5,5,4,5,4,2,5,False,5
"German Shorthair Pointer/Australian Cattle Dog",47,22,600,14,4,5,4,4,2,3,3,False,4
"Glen Of Imaal/Ibizan Hound",63,26,1400,14,3,2,3,4,2,3,3,False,4
"Golden Retriever/Akita",81,24,1500,14,4,4,4,5,3,4,4,False,4
"Golden Retriever/Australian Cattle Dog",49,21,1300,14,5,5,5,4,3,4,3,False,4
"Golden Retriever/Australian Shepherd",65,23,1300,14,5,5,4,5,3,4,3,False,4
"Golden Retriever/Brittany",51,21,1400,14,5,5,5,5,3,5,2,False,3
"Golden Retriever/Finnish Spitz",45,21,1350,13,4,4,4,4,4,4,3,False,3
"Golden Retriever/Great Pyrenees",90,27,1450,12,4,3,4,4,4,4,4,False,4
"Golden Retriever/Pembroke Welsh Corgi",44,17,1300,13,5,5,4,5,4,4,4,False,4
"Golden Retriever/Pit Bull",64,22,1350,13,3,3,4,5,2,3,2,False,4
"Golden Retriever/Whippet",46,39,1600,14,4,4,4,4,2,4,2,False,2
"Great Dane/Australian Cattle Dog",82,26,900,13,4,4,4,3,3,3,3,False,5
"Great Dane/Boxer",94,28,1200,12,3,3,3,3,3,2,3,False,5
"Great Dane/German Shepherd",108,29,1350,11,4,4,4,4,3,2,4,False,5
"Great Dane/Staffordshire",82,36,1500,13,3,2,3,3,2,2,3,False,4
"Great Pyrenees/Boxer",88,28,1050,12,3,2,4,4,3,2,4,False,5
"Great Pyrenees/Collie Rough",90,44,750,14,4,3,4,4,4,4,5,False,5
"Great Pyrenees/English Setter",94,29,650,12,4,2,3,3,4,3,4,False,4
"Great Pyrenees/German Shepherd",103,29,1200,11,4,3,4,4,3,2,5,False,5
"Great Pyrenees/Siberian Husky",89,27,950,13,4,1,4,4,2,4,5,False,3
"Greyhound/Dalmatian",75,25,875,12,5,4,4,5,2,5,4,False,2
"Greyhound/Great Dane",108,30,1075,12,4,3,3,4,2,4,3,False,3
"Harrier/Labrador Retriever",72,23,700,14,5,4,4,4,3,5,3,False,2
"Harrier/Pointer",70,24,325,15,5,3,3,4,1,5,3,False,3
"Havanese",13,11,1100,15,5,5,5,5,5,5,1,True,4
"Hovawart Mix",88,28,950,14,3,3,3,3,3,3,3,False,3
"Ibizan Hound/Pit Bull",64,24,1050,14,2,2,3,4,1,2,2,False,4
"Irish Wolfhound/Australian Shepherd",94,56,1300,11,4,4,3,4,3,4,2,False,3
"Irish Wolfhound/Great Dane",125,61,1600,10,3,3,3,3,3,4,2,False,3
"Irish Wolfhound/Great Pyrenees",119,61,1450,10,4,2,3,4,3,4,3,False,3
"Italian Greyhound",15,15,700,15,1,2,3,5,3,3,2,True,4
"Italian Greyhound/Beagle",20,15,750,15,3,2,3,5,3,4,2,False,2
"Jack Russell Terrier/American Staffordshire Terrier",52,16,950,14,2,3,4,5,1,1,2,False,5
"Jack Russell Terrier/Basenji",21,15,1100,16,2,3,5,4,1,1,2,False,5
"Jack Russell Terrier/Basset Hound",46,14,750,14,4,4,4,5,3,3,3,False,3
"Jack Russell Terrier/Boston Terrier",21,15,900,15,4,4,4,5,3,3,2,False,4
"Jack Russell Terrier/Cardigan Welsh Corgi",25,13,1100,15,4,5,5,5,3,2,4,False,5
"Jack Russell Terrier/Cavalier Span",17,13,1250,15,3,4,4,5,2,3,3,False,3
"Jack Russell Terrier/Italian Greyhound",16,14,850,15,2,3,4,5,2,2,2,False,4
"Jack Russell Terrier/Miniature Schnauzer",18,14,1000,15,3,5,5,5,2,2,2,False,5
"Jack Russell Terrier/Papillon",13,12,750,15,4,4,5,5,1,1,2,False,5
"Jack Russell Terrier/Pointer",46,21,625,15,4,4,4,5,1,3,3,False,5
"Jack Russell Terrier/Unknown",17,14,1000,16,3,5,5,5,1,1,3,False,5
"Jack Russell Terrier/Whippet",23,35,1100,15,3,4,4,4,1,2,2,False,3
"Japanese Chin",9,11,1000,14,2,3,3,5,5,3,3,True,4
"Keeshond",45,18,1100,15,4,4,3,5,4,4,5,False,5
"Kuvasz/Labrador Retriever",96,27,1250,12,4,4,4,4,3,3,4,False,4
"Labrador Retriever/Alaskan Husky",84,24,850,16,4,4,4,5,3,5,3,False,2
"Labrador Retriever/American Staffordshire Terrier",83,21,950,12,3,3,4,5,2,3,2,False,4
"Labrador Retriever/Beauceron",89,26,1250,13,4,5,5,4,3,3,3,False,4
"Labrador Retriever/Boston Terrier",52,21,900,14,5,4,4,5,4,5,2,False,3
"Labrador Retriever/Chesa Bay Retr",79,25,1000,13,5,5,5,5,4,5,3,False,3
"Labrador Retriever/English Pointer",77,26,625,14,5,4,4,5,2,5,3,False,4
"Labrador Retriever/Harrier",72,23,700,14,5,4,4,4,3,5,3,False,2
"Labrador Retriever/Spanish Water Dog",64,38,975,13,4,4,4,4,3,4,3,False,3
"Labrador Retriever/St. Bernard Rough Coat",171,57,1400,11,5,4,4,4,4,5,3,False,4
"Labrador Retriever/Weimaraner",78,44,900,12,5,5,5,5,4,5,3,False,3
"Leonberger",129,75,1400,9,5,3,3,5,3,4,4,False,5
"Lhasa Apso/Cocker Spaniel",22,22,700,14,5,3,3,5,4,5,3,False,3
"Lhasa Apso/Dachshund",23,18,600,14,3,2,3,5,4,3,2,False,4
"Lhasa Apso/Havanese",14,19,850,14,5,4,4,5,5,5,2,False,3
"Lhasa Apso/Pbgv",15,28,600,14,5,3,3,5,5,5,4,False,3
"Lhasa Apso/West Highland",17,22,900,15,4,3,3,4,4,4,2,False,4
"Lhasa Apso/Yorkshire Terrier",11,18,650,15,3,3,3,5,4,3,3,False,3
"Lowchen Mix",15,36,500,14,3,4,4,5,5,3,2,True,4
"Maltese/Border Terrier",11,13,900,15,3,4,3,5,3,3,1,True,4
"Maltese/Chihuahua Shorthair",7,10,800,16,1,3,3,5,5,4,1,False,4
"Maltese/Cocker Spaniel",19,13,800,15,3,3,3,5,4,5,2,False,3
"Maltese/Dachshund",20,9,700,15,1,2,3,5,4,3,1,False,4
"Maltese/Papillon",9,10,650,15,3,3,4,5,3,3,1,False,4
"Maltese/Yorkshire",8,10,800,15,1,3,3,5,5,5,1,True,4
"Manchester Terrier/Norfolk Terrier",17,26,1575,15,3,4,4,5,3,3,3,False,5
"Manchester Terrier/Toy Fox Terrier",15,35,725,15,3,4,4,5,4,3,3,False,4
"Mastiff/Boxer",114,30,1350,12,4,3,3,4,4,2,3,False,5
"Mastiff/Labrador Retriever",124,30,1250,12,5,4,4,5,4,4,3,False,4
"Mastiff/Pit Bull",117,29,1100,13,3,2,3,5,3,2,2,False,5
"Miniature Pinscher/Australian Cattle Dog",23,24,600,15,4,4,5,3,3,2,2,False,4
"Miniature Pinscher/Maltese",9,19,700,15,2,3,4,4,4,3,1,False,4
"Miniature Pinscher/Pomeranian",9,20,700,15,2,3,4,4,4,2,2,False,3
"Miniature Poodle/Australian Cattle Dog",22,40,1050,15,3,5,5,4,3,3,2,False,5
"Miniature Poodle/English Cocker Spaniel",22,38,1500,15,3,5,4,5,4,4,2,False,5
"Miniature Poodle/Golden Retriever",36,41,1750,14,3,5,5,5,4,4,2,False,4
"Miniature Poodle/Havanese",11,35,1300,15,3,5,5,5,4,4,1,True,4
"Miniature Poodle/Italian Greyhound",12,37,1100,15,1,3,4,5,3,3,1,True,4
"Miniature Poodle/Pomeranian",8,36,1150,15,1,4,4,5,4,3,1,False,3
"Miniature Poodle/Shih Tzu",13,44,1350,15,2,4,4,5,4,4,1,True,4
"Miniature Schnauzer/Australian Cattle Dog",27,17,800,15,4,5,5,4,3,3,2,False,5
"Miniature Schnauzer/Jack Russell Terrier",18,14,1000,15,3,5,5,5,2,2,2,False,5
"Miniature Schnauzer/Labrador Retriever",49,19,1000,14,4,5,5,5,3,4,2,False,4
"Miniature Schnauzer/Lhasa Apso",17,21,800,14,4,4,4,5,4,4,2,False,4
"Miniature Schnauzer/Maltese",14,12,900,15,2,4,4,5,4,4,1,True,4
"Miniature Schnauzer/Queensland Heeler",27,17,800,15,4,5,5,4,3,3,2,False,5
"Miniature Schnauzer/Scottish Terrier",21,21,950,15,2,3,4,4,3,3,1,True,5
"Miniature Schnauzer/Shih Tzu",18,21,1100,15,2,4,4,5,4,4,1,True,4
"Miniature Schnauzer/Soft Coated Wheaten Terrier",29,31,950,15,3,4,4,5,3,3,1,True,5
"Miniature Schnauzer/West Highland",20,15,1100,15,3,4,4,4,3,3,1,True,5
"Miniature Schnauzer/Whippet",25,35,1100,15,3,4,4,4,2,3,1,True,3
"Newfoundland/Australian Cattle Dog",94,47,1300,12,5,4,4,3,4,3,4,False,5
"Newfoundland/Border Collie",99,48,1350,13,5,4,4,4,4,3,4,False,5
"Newfoundland/Queensland Heeler",94,47,1300,12,5,4,4,3,4,3,4,False,5
"Norfolk Terrier/Border Terrier",13,13,1750,15,4,5,4,5,3,3,2,True,5
"Norfolk Terrier/Cairn Terrier",14,11,1750,15,4,4,4,4,3,3,3,True,5
"Norfolk Terrier/Dachshund",22,9,1550,15,3,3,4,5,3,3,2,False,5
"Norfolk Terrier/Dachshund Wirehair",22,9,1550,15,3,3,4,5,3,3,2,False,5
"Norwegian Elkhound Mix",55,21,600,15,5,3,4,5,3,3,5,False,5
"Norwich Terrier/Border Terrier",13,20,1250,14,4,3,4,5,3,3,1,True,3
"Norwich Terrier/Cairn Terrier",14,19,1250,14,4,2,4,4,3,4,2,True,3
"Norwich Terrier/Pug",14,26,950,14,4,2,4,5,4,5,2,False,3
"Nova Scotia Duck Tolling Retriever/Golden Retriever",63,23,2000,13,5,5,5,5,4,5,3,False,3
"Papillon/Australian Cattle Dog",22,15,550,15,5,4,5,4,2,2,2,False,5
"Papillon/Border Collie",27,16,600,15,5,4,5,5,2,2,2,False,5
"Papillon/Chihuahua Shorthair",8,10,650,16,3,3,4,5,3,2,1,False,4
"Papillon/Pomeranian",8,11,650,15,3,3,4,5,3,2,1,False,3
"Papillon/Skye Terrier",24,18,725,15,4,2,4,5,1,2,2,False,5
"Parson Russell Terrier/Chihuahua Shorthair",10,24,650,16,2,4,3,5,3,2,2,False,4
"Patterdale Terr/Chihuahua Shorthair",6,10,800,18,1,3,3,5,5,3,1,False,4
"Pekingese/Cavalier Span",16,11,1050,14,2,3,3,5,4,4,3,False,3
"Pekingese/Dachshund",23,9,600,15,1,2,3,5,4,2,2,False,4
"Pekingese/Lhasa Apso",14,18,600,14,3,2,3,5,5,4,3,False,3
"Pembroke Welsh Corgi/Australian Shepherd",47,17,600,14,5,5,4,5,4,3,4,False,5
"Pembroke Welsh Corgi/Basset Hound",50,13,550,13,5,4,3,5,5,4,4,False,3
"Pembroke Welsh Corgi/Brittany",32,16,700,14,5,5,4,5,4,4,3,False,4
"Pembroke Welsh Corgi/Chihuahua Shorthair",16,11,700,16,3,4,3,5,5,3,3,False,4
"Pembroke Welsh Corgi/Dachshund",29,10,600,14,3,3,4,5,4,2,3,False,5
"Pembroke Welsh Corgi/German Shepherd",57,19,1050,12,5,5,4,5,4,2,5,False,5
"Pembroke Welsh Corgi/Golden Retriever",44,17,1300,13,5,5,4,5,4,4,4,False,4
"Pembroke Welsh Corgi/Pit Bull",45,17,650,14,3,3,3,5,3,2,3,False,5
"Pharaoh Hound/Australian Cattle Dog",47,22,950,14,4,3,4,4,2,3,2,False,3
"Pharaoh Hound/Border Collie",51,23,1000,15,4,3,4,5,2,3,2,False,3
"Pit Bull/American Bulldog",92,46,800,14,2,2,3,4,2,2,2,False,4
"Pit Bull/American Foxhound",64,23,625,13,3,2,3,5,1,3,1,False,3
"Pit Bull/Black Mouth Cur",80,23,525,15,2,2,3,4,2,2,2,False,4
"Pit Bull/Border Collie",54,22,700,15,3,3,4,5,2,2,2,False,5
"Pit Bull/Border Terrier",40,19,850,14,3,3,3,5,1,1,1,False,5
"Pit Bull/Bull Terrier",75,38,1100,14,2,2,3,4,1,1,2,False,5
"Pit Bull/Cardigan Welsh Corgi",49,17,950,14,3,3,4,5,3,2,3,False,5
"Pit Bull/Chow Chow",67,22,950,14,2,2,3,3,1,1,3,False,4
"Pit Bull/Dogue De Bordeaux",104,24,1000,13,2,2,3,4,2,1,2,False,5
"Pit Bull/Queensland Heeler",50,21,650,14,3,3,4,4,2,2,2,False,5
"Pit Bull/Rhod Ridgeback",75,44,950,13,3,3,4,4,1,1,1,False,3
"Pit Bull/St. Bernard Smooth Coat",164,56,1250,12,3,2,3,4,3,3,2,False,5
"Plott Hound/Black/Tan Hound",55,58,300,14,4,3,4,3,2,3,3,False,5
"Plott Hound/Blue Lacy",50,39,625,14,3,3,3,3,2,3,3,False,4
"Plott Hound/Carolina Dog",60,41,625,14,3,3,3,3,2,3,3,False,4
"Pointer/Anatol Shepherd",98,29,575,15,4,2,3,3,1,3,3,False,5
"Pointer/Blue Lacy",60,24,600,14,4,3,3,4,2,4,3,False,4
"Pointer/Brittany",57,24,525,15,5,4,4,5,2,5,2,False,4
"Pointer/Bull Terrier",80,41,875,14,4,2,4,4,1,3,3,False,5
"Pointer/Chinese Sharpei",63,39,875,13,3,3,4,4,2,3,2,False,4
"Pointer/Queensland Heeler",55,24,425,15,5,4,4,4,2,4,3,False,5
"Pointer/Rhod Ridgeback",80,47,725,13,5,3,4,4,1,3,2,False,3
"Pointer/Staffordshire",55,34,1025,14,4,2,4,4,1,3,3,False,4
"Pomeranian/Border Terrier",11,14,900,15,3,4,3,5,3,2,1,False,3
"Pomeranian/Jack Russell Terrier",12,13,900,16,2,4,4,5,3,2,2,False,3
"Pomeranian/Schipperke",13,21,800,15,2,3,3,5,4,3,2,False,2
"Pug/Pekingese",15,18,500,15,2,2,3,5,5,4,3,False,4
"Pug/Pit Bull",41,25,550,14,3,2,3,5,3,3,2,False,4
"Pug/Pomeranian",12,20,600,15,2,3,3,5,5,4,2,False,3
"Pug/Schipperke",18,29,600,15,4,3,4,5,4,4,2,False,3
"Pug/Staffordshire",26,34,1100,14,3,2,4,4,3,3,3,False,3
"Queensland Heeler/Basset Hound",55,17,550,13,5,4,4,4,4,4,3,False,3
"Queensland Heeler/Border Collie",39,21,650,15,5,5,5,4,3,3,3,False,5
"Queensland Heeler/Dachshund",33,14,600,15,3,3,4,4,3,2,2,False,5
"Queensland Heeler/Great Dane",82,26,900,13,4,4,4,3,3,3,3,False,5
"Queensland Heeler/Shetland Sheepdog",30,18,650,14,4,5,5,4,4,3,3,False,5
"Rat Terrier/Basenji",25,17,850,17,3,3,4,4,3,3,2,False,5
"Rat Terrier/Chihuahua Longhair",15,14,650,18,3,4,3,5,4,3,2,False,4
"Rat Terrier/Jack Russell Terrier",21,16,750,17,4,5,4,5,2,2,3,False,5
"Rat Terrier/Pit Bull",45,20,600,16,3,3,3,5,2,2,2,False,5
"Rat Terrier/Pointer",50,23,375,16,5,4,4,5,2,4,3,False,5
"Rat Terrier/Pug",21,23,450,16,4,4,4,5,4,4,3,False,4
"Rat Terrier/Queensland Heeler",30,19,550,16,5,5,4,4,3,3,3,False,5
"Redbone Hound/Anatol Shepherd",94,49,850,13,4,2,3,3,2,3,2,False,3
"Redbone Hound/Redbone Hound",68,68,800,12,5,3,3,5,2,5,1,False,1
"Rhod Ridgeback/German Shepherd",86,46,1350,11,5,4,5,4,2,2,3,False,3
"Rhod Ridgeback/Plott Hound",70,62,750,13,4,3,4,3,2,2,2,False,3
"Rottweiler/Basset Hound",102,21,1250,11,3,3,4,4,4,3,3,False,3
"Rottweiler/Beagle",77,21,1400,12,3,2,4,4,3,3,3,False,3
"Rottweiler/Pit Bull",97,24,1350,12,2,2,4,4,2,1,2,False,5
"Rottweiler/Rhod Ridgeback",107,46,1600,11,3,3,5,3,2,1,2,False,3
"Saluki/Labrador Retriever",69,26,900,13,4,3,4,5,3,4,2,False,2
"Scottish Terrier/Basset Hound",48,21,700,13,3,2,3,4,4,4,2,False,3
"Scottish Terrier/Cairn Terrier",19,20,950,15,3,2,4,3,3,3,2,True,5
"Scottish Terrier/Miniature Poodle",16,44,1200,15,2,3,4,4,3,3,1,True,5
"Sealyham Terr Mix",50,25,800,14,3,3,4,4,3,3,3,False,3
"Shetland Sheepdog/Basenji",26,16,950,14,3,3,5,4,3,3,2,False,5
"Shetland Sheepdog/Border Collie",35,19,700,14,4,5,5,5,4,3,3,False,5
"Shetland Sheepdog/Brittany",32,18,750,14,4,5,5,5,4,4,2,False,4
"Shetland Sheepdog/Cardigan Welsh Corgi",29,14,950,14,4,5,5,5,5,3,4,False,5
"Shetland Sheepdog/Cavalier Span",22,14,1100,13,3,4,4,5,4,4,3,False,3
"Shetland Sheepdog/Dachshund Longhair",29,12,650,14,3,3,4,5,4,3,2,False,5
"Shetland Sheepdog/Keeshond",35,17,900,14,4,4,4,5,4,4,4,False,5
"Shetland Sheepdog/Pomeranian",16,14,750,14,2,4,4,5,5,3,2,False,3
"Shiba Inu/Dachshund",24,26,800,15,2,2,3,4,2,2,2,False,5
"Shiba Inu/Siberian Husky",38,33,1000,15,4,1,3,4,1,4,4,False,3
"Shih Tzu/Affenpinscher",14,20,850,14,1,3,3,3,4,4,1,True,4
"Shih Tzu/Australian Shepherd",42,25,900,15,3,4,3,5,4,4,2,False,4
"Shih Tzu/Cardigan Welsh Corgi",24,20,1200,15,3,4,4,5,5,4,3,False,4
"Shih Tzu/Cavalier Span",17,20,1350,14,2,3,3,5,4,5,2,False,3
"Shih Tzu/Norfolk Terrier",14,19,1850,15,3,4,3,5,4,4,2,True,4
"Shih Tzu/Pekingese",15,18,900,15,1,2,3,5,5,4,2,False,4
"Siberian Husky/Anatol Shepherd",90,27,950,15,4,1,3,3,1,3,4,False,3
"Siberian Husky/Australian Shepherd",64,23,800,15,5,3,4,5,2,4,4,False,3
"Siberian Husky/Beagle",42,19,900,15,5,1,4,5,2,5,4,False,1
"Siberian Husky/Catahoula",70,23,775,14,4,2,4,4,2,3,4,False,3
"Silky Terrier/Yorkshire Terrier",9,9,650,15,1,3,4,4,3,2,2,True,4
"Skye Terrier/Miniature Poodle",24,42,1225,15,2,3,4,5,3,3,2,False,5
"Soft Coated Wheaten Terrier/Standard Poodle",24,54,1200,15,3,4,4,5,3,4,1,True,5
"Soft Coated Wheaten Terrier/Yorkshire Terrier",23,28,800,15,2,3,4,5,3,3,2,True,4
"Spanish Mastiff Mix",169,88,950,14,3,3,3,3,3,3,3,False,3
"Spinone Italiano Mix",74,65,2000,14,5,4,5,3,3,5,3,False,3
"St. Bernard Rough Coat",264,90,1800,10,5,3,3,4,5,5,3,False,5
"St. Bernard Rough Coat/Border Collie",154,56,1250,13,5,4,4,4,4,4,3,False,5
"St. Bernard Rough Coat/German Shepherd",176,58,1650,10,5,4,4,4,4,3,4,False,5
"St. Bernard Rough Coat/Labrador Retriever",171,57,1400,11,5,4,4,4,4,5,3,False,4
"St. Bernard Rough Coat/Standard Schnauzer",154,70,1650,12,4,4,3,3,4,4,2,False,5
"St. Bernard Smooth Coat",264,90,1800,10,5,3,3,4,5,5,3,False,5
